SurveyNum,Date,Region,Island,Moku,Latitude,Longitude,Depth_m,Eel_biomass_g_m2,Eel_abundance_individuals_m2,Eel_count_individuals_survey,Total_fish_biomass_g_m2,Primary_biomass_g_m2,Secondary_biomass_g_m2,Planktivore_biomass_g_m2,Non_eel_piscivore_biomass_g_m2,Eels_seen_by_NOAA_SPC_biomass_g_m2,Apex_predator_biomass_g_m2,Jack_shark_biomass_g_m2,Non_native_grouper_biomass_g_m2,Non_eel_mesopredator_biomass_g_m2,Live_hard_coral_percent,Macroalgae_percent,Turf_CCA_percent,Sand_percent,Chain_rugosity_ratio,Max_substrate_height_m,Mean_substrate_height_m,Mean_substrate_height_bin_variability_m,Insitu_observer_complexity_rating,ADCP_flow_rate_m_s,Fluorescein_plume_diameter_1min_m,Fluorescein_plume_diameter_3min_m,Clod_card_dissolution_time_s
21,3/23/2016,MHI,Hawaii,Kohala,20.183782,-155.901568,7.4,12.458344,0.056497175,10,25.79719483,12.50201306,7.254235386,3.455757405,2.129081019,0.468124,0.67762,0.140802,1.187957,2.021417,30,2,53,15,1.798561151,2.92,1.2835,0.840144482,7,,1.83,2.74,583
22,3/24/2016,MHI,Hawaii,Kohala,19.979365,-155.832198,5.6,16.162169,0.033898305,6,25.79719483,12.50201306,7.254235386,3.455757405,2.129081019,0.468124,0.67762,0.140802,1.187957,2.021417,5,1,93,1,1.461988304,5.44,0.5175,0.292948374,4,,2.74,5.18,387
23,3/24/2016,MHI,Hawaii,Kohala,19.975991,-155.838598,6,20.742742,0.02259887,4,25.79719483,12.50201306,7.254235386,3.455757405,2.129081019,0.468124,0.67762,0.140802,1.187957,2.021417,7,1,91,1,2.049180328,5.13,1.9985,1.243065958,9,,4.27,4.27,547
24,3/25/2016,MHI,Hawaii,Kona Hawaii,19.183231,-155.909749,5.2,17.032905,0.062146893,11,32.88746375,17.67197449,5.311431831,4.760320411,3.235493238,1.946794,1.453976,0.084292,1.783596,2.955958,10,1,89,0,1.536885246,2.77,0.656,0.601341417,5,,1.22,7.92,500
25,3/25/2016,MHI,Hawaii,Kona Hawaii,19.185117,-155.907854,5.7,21.500612,0.079096045,14,32.88746375,17.67197449,5.311431831,4.760320411,3.235493238,1.946794,1.453976,0.084292,1.783596,2.955958,30,1,59,10,1.386321627,2.82,0.5732,0.469312007,5,,1.83,3.05,785
26,3/26/2016,MHI,Hawaii,Kona Hawaii,19.560338,-155.965824,5.4,9.634462,0.028248588,5,32.88746375,17.67197449,5.311431831,4.760320411,3.235493238,1.946794,1.453976,0.084292,1.783596,2.955958,10,1,74,15,1.447876448,3.28,0.874,0.661123287,5,,1.83,3.35,673
27,3/26/2016,MHI,Hawaii,Kona Hawaii,19.563194,-155.968229,5.1,5.330859,0.028248588,5,32.88746375,17.67197449,5.311431831,4.760320411,3.235493238,1.946794,1.453976,0.084292,1.783596,2.955958,7,2,85,6,1.491053678,3.61,1.071,0.855607387,6,,3.96,7.92,520
28,5/23/2016,MHI,Niihau,Kona Niihau,21.997595,-160.11518,10.7,0.100981,0.02259887,4,64.95496654,35.39337674,12.49167908,4.199752451,12.75208155,0.121639,9.634303,4.219221,3.012619,8.88889,1,3,96,0,NA,1.22,0.2265,0.227975328,4,,3.96,9.75,651
29,5/23/2016,MHI,Niihau,Kona Niihau,21.983602,-160.118012,9.1,6.728145,0.02259887,4,64.95496654,35.39337674,12.49167908,4.199752451,12.75208155,0.121639,9.634303,4.219221,3.012619,8.88889,1,15,83,1,NA,5.79,2.7415,1.405665412,4,,3.05,7.01,533
30,5/25/2016,NWHI,French Frigate Shoals,French Frigate Shoals,23.62792,-166.13538,8.2,3.515507,0.016949153,3,122.4166416,17.33879331,13.37683181,4.586264258,87.04683622,0.067916,85.74505,70.62764,0.149321,16.58526,18,5,62,15,NA,0.91,0.435,0.387753143,5,,12.5,30.17,487
31,5/25/2016,NWHI,French Frigate Shoals,French Frigate Shoals,23.63872,-166.18003,9.4,0.40714,0.005649718,1,122.4166416,17.33879331,13.37683181,4.586264258,87.04683622,0.067916,85.74505,70.62764,0.149321,16.58526,2,15,43,40,NA,0.91,0.35355,0.308702782,3,,3.05,8.84,NA
32,5/26/2016,NWHI,French Frigate Shoals,French Frigate Shoals,23.849551,-166.298727,6.7,0.343765,0.016949153,3,122.4166416,17.33879331,13.37683181,4.586264258,87.04683622,0.067916,85.74505,70.62764,0.149321,16.58526,22,2,61,15,NA,3.96,1.106,0.916975463,8,,3.05,6.1,681
33,5/26/2016,NWHI,French Frigate Shoals,French Frigate Shoals,23.836995,-166.267097,9.1,0.864263,0.016949153,3,122.4166416,17.33879331,13.37683181,4.586264258,87.04683622,0.067916,85.74505,70.62764,0.149321,16.58526,18,12,55,15,NA,1.47,0.701,0.480880962,6,,2.44,3.35,519
34,5/28/2016,NWHI,Maro,Maro,25.46134,-170.67543,12.2,0.422988,0.02259887,4,87.45802963,25.23299668,14.56725855,9.211768758,38.44600564,0.020629,36.98534,30.72754,0,8.728588,50,0,50,0,NA,2.75,0.93625,0.62101102,6,,12.19,15.24,NA
35,5/28/2016,NWHI,Maro,Maro,25.47062,-170.6424,8.5,0.605972,0.011299435,2,87.45802963,25.23299668,14.56725855,9.211768758,38.44600564,0.020629,36.98534,30.72754,0,8.728588,30,13,57,0,NA,5.79,1.47375,1.303914179,6,,4.27,6.4,508
36,5/29/2016,NWHI,Maro,Maro,25.3443,-170.49288,6.1,0,0,0,87.45802963,25.23299668,14.56725855,9.211768758,38.44600564,0.020629,36.98534,30.72754,0,8.728588,5,20,75,0,NA,1.53,0.47075,0.424447509,4,,1.52,4.27,340
37,5/29/2016,NWHI,Maro,Maro,25.33218,-170.48892,8.2,3.486643,0.033898305,6,87.45802963,25.23299668,14.56725855,9.211768758,38.44600564,0.020629,36.98534,30.72754,0,8.728588,55,1,44,0,NA,0.92,0.375,0.368272997,5,,15.24,24.38,297
38,6/1/2016,NWHI,Pearl and Hermes,Pearl and Hermes,27.78558,-175.82528,11,0.059126,0.005649718,1,169.9841512,18.21859341,11.90776152,7.44916451,132.404744,0.00597,131.5111,121.1507,0,11.3696,0,60,30,10,NA,0.92,0.3825,0.327976752,3,,2.44,3.66,607
39,6/1/2016,NWHI,Pearl and Hermes,Pearl and Hermes,27.75861,-175.96728,8.5,1.334714,0.039548023,7,169.9841512,18.21859341,11.90776152,7.44916451,132.404744,0.00597,131.5111,121.1507,0,11.3696,10,10,75,5,NA,2.43,1.14875,0.606881115,7,,1.22,5.79,515
40,6/2/2016,NWHI,Midway,Midway,28.196333,-177.374444,13.1,1.239277,0.039548023,7,135.3706722,70.54583561,18.69325515,7.627771527,38.32738769,0.21526,36.88022,28.3993,0,10.4843,3,2,88,7,NA,1.83,0.7815,0.523669982,7,,1.83,2.74,591
41,6/2/2016,NWHI,Midway,Midway,28.19744,-177.34583,11.3,9.308366,0.011299435,2,135.3706722,70.54583561,18.69325515,7.627771527,38.32738769,0.21526,36.88022,28.3993,0,10.4843,1,10,39,50,NA,0.61,0.265,0.246525861,3,,1.83,2.74,907
42,6/4/2016,NWHI,Kure,Kure,28.45093,-178.33466,2.7,0.493688,0.016949153,3,102.2711637,32.2710139,15.51401689,3.431821127,51.0543118,0.005652,50.32374,45.4901,0,5.480836,3,10,52,35,NA,2.75,0.8,0.773385415,7,,0.91,1.83,1365
43,6/4/2016,NWHI,Kure,Kure,28.447688,-178.342877,3.4,0.174489,0.011299435,2,102.2711637,32.2710139,15.51401689,3.431821127,51.0543118,0.005652,50.32374,45.4901,0,5.480836,3,30,32,35,NA,1.83,0.6215,0.556965214,5,,1.22,1.83,NA
44,6/5/2016,NWHI,Kure,Kure,28.41164,-178.35307,4,0.343765,0.016949153,3,102.2711637,32.2710139,15.51401689,3.431821127,51.0543118,0.005652,50.32374,45.4901,0,5.480836,30,20,15,35,NA,3.35,1.0025,0.993947307,7,,0.91,3.66,606
45,6/5/2016,NWHI,Kure,Kure,28.42103,-178.37569,7.9,1.48332,0.056497175,10,102.2711637,32.2710139,15.51401689,3.431821127,51.0543118,0.005652,50.32374,45.4901,0,5.480836,7,2,91,0,NA,2.74,1.217,0.736173213,8,,1.52,2.44,387
46,6/6/2016,NWHI,Pearl and Hermes,Pearl and Hermes,27.9411,-175.86099,12.2,4.682786,0.033898305,6,169.9841512,18.21859341,11.90776152,7.44916451,132.404744,0.00597,131.5111,121.1507,0,11.3696,1,10,90,0,NA,2.14,1.2305,0.571580922,8,,3.35,8.23,481
47,6/6/2016,NWHI,Pearl and Hermes,Pearl and Hermes,27.91078,-175.90541,12.5,3.075864,0.02259887,4,169.9841512,18.21859341,11.90776152,7.44916451,132.404744,0.00597,131.5111,121.1507,0,11.3696,15,15,67,3,NA,2.44,1.1011,0.58841804,8,,2.44,6.1,580
48,6/7/2016,NWHI,Lisianski,Lisianski,26.06544,-173.93491,10.7,3.823438,0.028248588,5,137.770087,22.49300052,9.333334875,3.389801716,102.3749457,0.19001,101.1528,92.16492,0,10.5333,20,60,15,5,NA,4.57,1.32125,1.052487381,9,,3.05,9.14,545
49,6/7/2016,NWHI,Lisianski,Lisianski,26.0636,-173.95924,3,7.252817,0.028248588,5,137.770087,22.49300052,9.333334875,3.389801716,102.3749457,0.19001,101.1528,92.16492,0,10.5333,2,60,20,18,NA,2.13,0.7915,0.563583745,8,,2.13,3.35,695
50,6/8/2016,NWHI,Lisianski,Lisianski,26.02439,-174.00758,11.9,0.432822,0.028248588,5,137.770087,22.49300052,9.333334875,3.389801716,102.3749457,0.19001,101.1528,92.16492,0,10.5333,1,40,55,4,NA,3.66,1.0835,0.841684472,9,,1.83,9.14,548
51,6/8/2016,NWHI,Lisianski,Lisianski,26.01977,-173.87615,12.2,1.155242,0.028248588,5,137.770087,22.49300052,9.333334875,3.389801716,102.3749457,0.19001,101.1528,92.16492,0,10.5333,20,40,38,2,NA,2.13,0.50325,0.458802388,6,,6.1,30.48,415
52,6/9/2016,NWHI,Laysan,Laysan,25.77688,-171.74823,11,3.700343,0.033898305,6,96.88878869,34.39033573,17.75299443,4.617143263,40.12831528,0,39.21385,24.61966,0,16.02466,25,40,34,1,NA,2.14,1.0837,0.589078356,7,,6.1,30.48,475
53,6/9/2016,NWHI,Laysan,Laysan,25.7695,-171.74684,7.3,1.571876,0.02259887,4,96.88878869,34.39033573,17.75299443,4.617143263,40.12831528,0,39.21385,24.61966,0,16.02466,13,60,27,0,NA,4.27,1.599,1.100335858,6,,3.66,18.29,496
54,6/11/2016,NWHI,French Frigate Shoals,French Frigate Shoals,23.78089,-166.20933,7.3,0.543151,0.028248588,5,122.4166416,17.33879331,13.37683181,4.586264258,87.04683622,0.067916,85.74505,70.62764,0.149321,16.58526,35,10,51,4,NA,3.04,0.9565,0.75684394,9,,0.91,2.74,566
55,6/11/2016,NWHI,French Frigate Shoals,French Frigate Shoals,23.74086,-166.17078,4.6,1.84465,0.033898305,6,122.4166416,17.33879331,13.37683181,4.586264258,87.04683622,0.067916,85.74505,70.62764,0.149321,16.58526,40,5,45,10,NA,3.05,1.07375,0.783560583,9,,0.61,1.52,727
56,6/12/2016,NWHI,French Frigate Shoals,French Frigate Shoals,23.65601,-166.19139,11.3,3.010969,0.033898305,6,122.4166416,17.33879331,13.37683181,4.586264258,87.04683622,0.067916,85.74505,70.62764,0.149321,16.58526,70,0,20,10,NA,1.22,0.593,0.420809933,9,,2.13,4.57,391
57,6/14/2016,MHI,Niihau,Kona Niihau,22.01497,-160.1017,6.7,7.66603,0.02259887,4,64.95496654,35.39337674,12.49167908,4.199752451,12.75208155,0.121639,9.634303,4.219221,3.012619,8.88889,50,4,46,0,NA,1.22,0.5761,0.375472755,7,,2.13,6.71,659
58,8/8/2016,MHI,Oahu,Kona Oahu,21.28278,-157.85316,7.9,5.97846,0.016949153,3,15.18816211,5.581116461,4.768337697,3.411294121,1.019742313,0.409926,0.157376,0.45652,0.261873,0.715752,9,0,81,10,1.893939394,2.13,0.88325,0.514252552,5,,2.44,2.74,NA
59,8/8/2016,MHI,Oahu,Kona Oahu,21.27529,-157.84195,8.5,5.769255,0.016949153,3,15.18816211,5.581116461,4.768337697,3.411294121,1.019742313,0.409926,0.157376,0.45652,0.261873,0.715752,5,1,82,12,1.262626263,1.53,0.81295,0.468074831,4,,3.05,12.19,NA
60,8/19/2016,MHI,Oahu,Waialua,21.58042,-158.2163,4,1.141442,0.02259887,4,9.137860807,2.672363947,4.007733382,1.019974123,1.403020761,0.034769,1.35223,0,0.016154,1.373341,20,15,64,1,1.756440281,3.66,1.3765,0.851053905,6,,3.66,5.79,NA
